Product_image,Product_Name,Product_Colour,Product_price,Product_off,Product_Offers,Product_Secure
https://rukminim2.flixcart.com/image/612/612/xif0q/backpack/j/s/x/-original-imahfz23th4cyhtz.jpeg?q=70,Large 40 L Backpack Casual School/College/Office/Travel...,Blue,? 290,77% off,Big Billion Days Price,https://static-assets-web.flixcart.com/fk-p-linchpin-web/fk-cp-zion/img/fa_9e47c1.png
https://rukminim2.flixcart.com/image/612/612/xif0q/backpack/e/l/2/-original-imahfskfzhdrv7fj.jpeg?q=70,Large 35 L Backpack School/College/Office/Casual Waterp...,Black,? 288,88% off,Big Billion Days Price,
https://rukminim2.flixcart.com/image/612/612/xif0q/backpack/a/s/t/16-expandable-travel-rucksack-for-outdoor-sport-camping-hiking-original-imah8g8hzhg3hbhd.jpeg?q=70,Large 60 L Backpack Expandable Travel Rucksack for Outd...,Black,? 407,68% off,Big Billion Days Price,https://static-assets-web.flixcart.com/fk-p-linchpin-web/fk-cp-zion/img/fa_9e47c1.png
https://rukminim2.flixcart.com/image/612/612/xif0q/backpack/z/p/b/12-backbenchers-white-strike-edition-boys-stylish-school-original-imahfw2gnjz5v58t.jpeg?q=70,Medium 30 L Laptop Backpack Backbenchers White Strike E...,Black,? 485,75% off,Only few left,
https://rukminim2.flixcart.com/image/612/612/xif0q/backpack/t/z/m/-original-imahfskgcppmgbpx.jpeg?q=70,Large 45 L Laptop Backpack JERSEY,Black,? 649,81% off,Big Billion Days Price,https://static-assets-web.flixcart.com/fk-p-linchpin-web/fk-cp-zion/img/fa_9e47c1.png
https://rukminim2.flixcart.com/image/612/612/xif0q/backpack/y/q/u/-original-imahfz23gpymx59g.jpeg?q=70,Large 40 L Backpack 40L Casual Laptop School/College/Of...,Blue,? 292,77% off,Big Billion Days Price,https://static-assets-web.flixcart.com/fk-p-linchpin-web/fk-cp-zion/img/fa_9e47c1.png
https://rukminim2.flixcart.com/image/612/612/xif0q/backpack/8/z/h/-original-imahfz23hzchyabf.jpeg?q=70,Large 40 L Backpack Casual Laptop bag School/College/Of...,Blue,? 290,77% off,Big Billion Days Price,https://static-assets-web.flixcart.com/fk-p-linchpin-web/fk-cp-zion/img/fa_9e47c1.png
https://rukminim2.flixcart.com/image/612/612/xif0q/backpack/v/o/z/-original-imahfz23b3nzwans.jpeg?q=70,Large 35 L Laptop Backpack men and women for school bag...,Blue,? 281,88% off,Big Billion Days Price,https://static-assets-web.flixcart.com/fk-p-linchpin-web/fk-cp-zion/img/fa_9e47c1.png
https://rukminim2.flixcart.com/image/612/612/xif0q/backpack/0/e/c/-original-imahftr8q5gcnsb9.jpeg?q=70,Large 35 L Backpack Durable Water-Resistant Laptop Bag ...,Black,? 499,80% off,Big Billion Days Price,https://static-assets-web.flixcart.com/fk-p-linchpin-web/fk-cp-zion/img/fa_9e47c1.png
https://rukminim2.flixcart.com/image/612/612/xif0q/backpack/f/b/i/12-backbenchers-white-xtreme-school-bag-boys-stylish-backpack-12-original-imahfw2h34xfhcct.jpeg?q=70,Medium 30 L Laptop Backpack Backbenchers White Xtreme S...,Black,? 498,75% off,Only few left,
https://rukminim2.flixcart.com/image/612/612/xif0q/backpack/b/i/i/8-vegan-casual-backpack-for-men-13-145-backpack-worng-40-19-original-imahdczvfyywdswe.jpeg?q=70,Large 40 L Laptop Backpack Vegan Casual Backpack for Me...,Brown,? 432,82% off,Big Billion Days Price,https://static-assets-web.flixcart.com/fk-p-linchpin-web/fk-cp-zion/img/fa_9e47c1.png
https://rukminim2.flixcart.com/image/612/612/xif0q/backpack/c/w/l/7-school-bag-for-class-4th-to-10th-standard-tuition-school-original-imagvgz4vgkatnyv.jpeg?q=70,Medium 30 L Laptop Backpack Reflective Strip Waterproof...,Red,? 272,86% off,Big Billion Days Price,
https://rukminim2.flixcart.com/image/612/612/xif0q/backpack/5/r/d/42-plus-backpack-ii-33-9284001-backpack-puma-23-5-original-imaheb7k4jmjcefh.jpeg?q=70,Medium 23 L Backpack Plus Backpack II,Black,? 669,55% off,Big Billion Days Price,https://static-assets-web.flixcart.com/fk-p-linchpin-web/fk-cp-zion/img/fa_9e47c1.png
https://rukminim2.flixcart.com/image/612/612/xif0q/backpack/3/q/p/-original-imahfskfvz382zge.jpeg?q=70,Large 34 L Backpack Polyester Riddle School,Black,? 668,69% off,Big Billion Days Price,https://static-assets-web.flixcart.com/fk-p-linchpin-web/fk-cp-zion/img/fa_9e47c1.png
https://rukminim2.flixcart.com/image/612/612/xif0q/backpack/o/s/2/8-1-orange-black-office-travel-14-simn-1552-1-orange-black-original-imahfjj2tmujcbhf.jpeg?q=70,Large 35 L Laptop Backpack ./1 orange black office trav...,"Orange, Black",? 473,82% off,Big Billion Days Price,https://static-assets-web.flixcart.com/fk-p-linchpin-web/fk-cp-zion/img/fa_9e47c1.png
